transaction_id,serial_number,registry,project_type,vintage_year,quantity,unit,gas_type,status,retirement_date,claimed_by,claim_year,claim_id
T000056,VCS-07906-2025-00000027,Verra,Landfill Methane Capture,2025,307.82,tCO2e,CO2,retired,2025-06-29,Cobalt Ridge Manufacturing,2025,CLAIM-2025-2124
T000057,GS-01659-2021-00000013,Gold Standard,Cookstove Distribution,2021,3125.61,tCO2e,CO2,retired,2024-05-02,Brightline Materials Co.,2024,CLAIM-2024-8758
T000058,PURO-02874-2025-00000012,Puro.earth,Direct Air Capture,2025,880.56,tCO2e,CO2,retired,2026-11-07,Aria Logistics Group,2026,CLAIM-2026-3683
T000059,VCS-06096-2022-00000028,Verra,REDD+ (VM0048),2022,3589.32,tCO2e,CO2,retired,2026-02-08,Cobalt Ridge Manufacturing,2026,CLAIM-2026-2669
T000060,GS-05941-2018-00000014,Gold Standard,Cookstove Distribution,2018,3324.53,tCO2e,CO2,retired,2025-02-05,Halsey Industrial Partners,2025,CLAIM-2025-1207
T000061,VCS-07882-2019-00000029,Verra,Cookstove Distribution,2019,3196.15,tCO2e,N2O,retired,2026-08-24,Brightline Materials Co.,2026,CLAIM-2026-8135
T000062,PURO-03885-2025-00000013,Puro.earth,Biochar,2025,3668.58,tCO2e,CO2,retired,2026-05-18,Halsey Industrial Partners,2026,CLAIM-2026-5022
T000063,ACR-02419-2021-00000006,ACR,Landfill Methane Capture,2021,3357.53,tCO2e,CO2,retired,2026-06-22,Northwind Foods Inc.,2026,CLAIM-2026-9098
T000064,VCS-06325-2021-00000030,Verra,Afforestation/Reforestation (VM0047),2021,1734.68,tCO2e,CO2,retired,2025-11-02,Verdant Grain Cooperative,2025,CLAIM-2025-1166
T000065,VCS-09464-2021-00000031,Verra,Afforestation/Reforestation (VM0047),2021,3802.92,tCO2e,CO2,retired,2026-12-20,Tidewater Shipping Corp.,2026,CLAIM-2026-9041
T000066,GS-08342-2019-00000015,Gold Standard,Cookstove Distribution,2019,3474.35,tCO2e,CO2,retired,2025-06-06,Halsey Industrial Partners,2025,CLAIM-2025-8753
T000067,ACR-09698-2023-00000007,ACR,Landfill Methane Capture,2023,1391.04,tCO2e,CO2,retired,2025-05-09,Cobalt Ridge Manufacturing,2025,CLAIM-2025-2976
T000068,VCS-04155-2020-00000032,Verra,Landfill Methane Capture,2020,2446.78,tCO2e,CO2,retired,2024-10-28,Verdant Grain Cooperative,2024,CLAIM-2024-2647
T000069,VCS-04180-2023-00000033,Verra,Landfill Methane Capture,2023,3554.69,tCO2e,CO2,retired,2024-03-05,Verdant Grain Cooperative,2024,CLAIM-2024-1745
T000070,GS-01893-2020-00000016,Gold Standard,Direct Air Capture,2020,110.71,tCO2e,CO2,retired,2026-05-26,Tidewater Shipping Corp.,2026,CLAIM-2026-8843
T000071,VCS-08216-2018-00000034,Verra,Landfill Methane Capture,2018,2414.76,tCO2e,CH4,retired,2025-02-03,Solace Apparel Holdings,2025,CLAIM-2025-9056
T000072,PURO-02213-2020-00000014,Puro.earth,Direct Air Capture,2020,4748.17,tCO2e,CO2,retired,2024-02-13,Cobalt Ridge Manufacturing,2024,CLAIM-2024-2940
T000073,PURO-07818-2024-00000015,Puro.earth,Direct Air Capture,2024,1521.9,tCO2e,CH4,retired,2025-10-29,Solace Apparel Holdings,2025,CLAIM-2025-6003
T000074,PURO-01986-2021-00000016,Puro.earth,Direct Air Capture,2021,451.88,tCO2e,CO2,retired,2024-05-02,Brightline Materials Co.,2024,CLAIM-2024-2229
T000075,VCS-03564-2025-00000035,Verra,REDD+ (VM0048),2025,1195.81,tCO2e,CO2,retired,2026-12-28,Verdant Grain Cooperative,2026,CLAIM-2026-8438
T000076,PURO-02166-2022-00000017,Puro.earth,Biochar,2022,2745.58,tCO2e,CO2,retired,2024-11-27,Brightline Materials Co.,2024,CLAIM-2024-5352
T000077,VCS-03330-2020-00000036,Verra,REDD+ (VM0048),2020,4129.99,tCO2e,CO2,retired,2025-05-28,Tidewater Shipping Corp.,2025,CLAIM-2025-3037
T000078,PURO-08679-2024-00000018,Puro.earth,Biochar,2024,2494.29,tCO2e,CO2,retired,2025-02-11,Northwind Foods Inc.,2025,CLAIM-2025-8078
T000079,GS-06280-2018-00000017,Gold Standard,Direct Air Capture,2018,3387.78,tCO2e,CO2,retired,2023-10-22,Northwind Foods Inc.,2023,CLAIM-2023-5415
T000080,GS-01659-2025-00000018,Gold Standard,Cookstove Distribution,2025,948.37,tCO2e,CH4,retired,2026-10-27,Solace Apparel Holdings,2026,CLAIM-2026-9056
T000081,CAR-02494-2024-00000003,CAR,Improved Forest Management,2024,567.77,tCO2e,CO2,retired,2025-03-24,Halsey Industrial Partners,2025,CLAIM-2025-7744
T000082,CAR-09117-2024-00000004,CAR,Landfill Methane Capture,2024,485.9,tCO2e,CO2,retired,2026-05-10,Halsey Industrial Partners,2026,CLAIM-2026-2899
T000083,GS-07622-2025-00000019,Gold Standard,Cookstove Distribution,2025,2616.27,tCO2e,CO2,retired,2026-11-15,Tidewater Shipping Corp.,2026,CLAIM-2026-8242
T000084,VCS-01845-2020-00000037,Verra,Afforestation/Reforestation (VM0047),2020,3506.34,tCO2e,CO2,retired,2025-03-04,Northwind Foods Inc.,2025,CLAIM-2025-4920
T000085,CAR-03594-2018-00000005,CAR,Landfill Methane Capture,2018,4961.67,tCO2e,CO2,retired,2026-02-28,Tidewater Shipping Corp.,2026,CLAIM-2026-2924
T000086,VCS-03522-2022-00000038,Verra,Improved Forest Management,2022,2438.37,tCO2e,CO2,retired,2025-08-30,Cobalt Ridge Manufacturing,2025,CLAIM-2025-8483
T000087,ACR-03369-2020-00000008,ACR,Improved Forest Management,2020,3960.53,tCO2e,CO2,retired,2023-08-01,Halsey Industrial Partners,2023,CLAIM-2023-9318
T000088,GS-05377-2022-00000020,Gold Standard,Cookstove Distribution,2022,2920.62,tCO2e,CO2,retired,2025-12-04,Tidewater Shipping Corp.,2025,CLAIM-2025-3434
T000089,GS-08316-2023-00000021,Gold Standard,Direct Air Capture,2023,2739.98,tCO2e,CO2,retired,2025-08-22,Halsey Industrial Partners,2025,CLAIM-2025-4090
T000090,GS-04912-2021-00000022,Gold Standard,Direct Air Capture,2021,3736.29,tCO2e,CO2,retired,2026-12-28,Solace Apparel Holdings,2026,CLAIM-2026-7325
T000091,ACR-03492-2020-00000009,ACR,Improved Forest Management,2020,4377.24,tCO2e,CH4,retired,2025-08-14,Aria Logistics Group,2025,CLAIM-2025-9617
T000092,VCS-08486-2024-00000039,Verra,REDD+ (VM0048),2024,420.4,tCO2e,N2O,retired,2026-05-16,Halsey Industrial Partners,2026,CLAIM-2026-7512
T000093,VCS-02315-2024-00000040,Verra,Cookstove Distribution,2024,4442.82,tCO2e,CO2,retired,2025-09-07,Northwind Foods Inc.,2025,CLAIM-2025-2121
T000094,PURO-04846-2021-00000019,Puro.earth,Biochar,2021,537.29,tCO2e,CO2,retired,2023-11-21,Aria Logistics Group,2023,CLAIM-2023-8269
T000095,PURO-03725-2018-00000020,Puro.earth,Biochar,2018,327.79,tCO2e,CO2,retired,2023-07-03,Halsey Industrial Partners,2023,CLAIM-2023-8056
T000096,VCS-03385-2020-00000041,Verra,Afforestation/Reforestation (VM0047),2020,3066.98,tCO2e,CO2,retired,2024-07-14,Cobalt Ridge Manufacturing,2024,CLAIM-2024-9153
T000097,VCS-03344-2022-00000042,Verra,Afforestation/Reforestation (VM0047),2022,96.52,tCO2e,CO2,retired,2026-08-27,Verdant Grain Cooperative,2026,CLAIM-2026-9955
T000098,VCS-03588-2023-00000043,Verra,REDD+ (VM0048),2023,2150.33,tCO2e,CO2,retired,2025-05-09,Tidewater Shipping Corp.,2025,CLAIM-2025-5949
T000099,CAR-04263-2019-00000006,CAR,Improved Forest Management,2019,1826.85,tCO2e,CO2,retired,2024-05-31,Verdant Grain Cooperative,2024,CLAIM-2024-1359
T000100,VCS-07484-2018-00000044,Verra,Landfill Methane Capture,2018,4519.53,tCO2e,CO2,retired,2026-04-28,Halsey Industrial Partners,2026,CLAIM-2026-4588
T000101,GS-04115-2020-00000023,Gold Standard,Direct Air Capture,2020,3249.39,tCO2e,CH4,retired,2023-06-08,Tidewater Shipping Corp.,2023,CLAIM-2023-1546
T000102,PURO-06977-2019-00000021,Puro.earth,Biochar,2019,2106.74,tCO2e,CO2,retired,2025-04-13,Brightline Materials Co.,2025,CLAIM-2025-9837
T000103,GS-06994-2020-00000024,Gold Standard,Direct Air Capture,2020,4723.73,tCO2e,CH4,retired,2025-06-01,Halsey Industrial Partners,2025,CLAIM-2025-2886
T000104,VCS-08673-2021-00000045,Verra,REDD+ (VM0048),2021,4032.71,tCO2e,N2O,retired,2026-07-07,Aria Logistics Group,2026,CLAIM-2026-7464
T000105,CAR-01228-2019-00000007,CAR,REDD+ (VM0048),2019,3757.61,tCO2e,CO2,retired,2026-05-15,Solace Apparel Holdings,2026,CLAIM-2026-7086
T000106,PURO-02775-2025-00000022,Puro.earth,Biochar,2025,4718.69,tCO2e,CO2,retired,2025-06-17,Cobalt Ridge Manufacturing,2025,CLAIM-2025-2035
T000107,PURO-08606-2024-00000023,Puro.earth,Biochar,2024,4733.99,tCO2e,CO2,retired,2024-06-04,Tidewater Shipping Corp.,2024,CLAIM-2024-2902
T000108,VCS-02592-2024-00000046,Verra,Afforestation/Reforestation (VM0047),2024,4749.43,tCO2e,CO2,retired,2025-12-23,Solace Apparel Holdings,2025,CLAIM-2025-3531
T000109,PURO-07797-2025-00000024,Puro.earth,Biochar,2025,1434.71,tCO2e,CH4,retired,2026-12-20,Halsey Industrial Partners,2026,CLAIM-2026-4559
T000110,ACR-08264-2023-00000010,ACR,Improved Forest Management,2023,1868.31,tCO2e,N2O,retired,2023-11-27,Halsey Industrial Partners,2023,CLAIM-2023-1992
T000111,VCS-07523-2019-00000047,Verra,Landfill Methane Capture,2019,1099.92,tCO2e,CO2,retired,2026-11-24,Northwind Foods Inc.,2026,CLAIM-2026-1828
T000112,VCS-06464-2021-00000048,Verra,Afforestation/Reforestation (VM0047),2021,2793.33,tCO2e,CO2,retired,2023-10-28,Cobalt Ridge Manufacturing,2023,CLAIM-2023-4817
T000113,GS-06383-2018-00000025,Gold Standard,Cookstove Distribution,2018,766.21,tCO2e,CH4,retired,2025-03-08,Verdant Grain Cooperative,2025,CLAIM-2025-3858
T000114,PURO-02801-2020-00000025,Puro.earth,Biochar,2020,3952.74,tCO2e,CO2,retired,2023-10-29,Halsey Industrial Partners,2023,CLAIM-2023-1258
T000115,VCS-03854-2020-00000049,Verra,Landfill Methane Capture,2020,3741.04,tCO2e,CO2,retired,2026-09-01,Tidewater Shipping Corp.,2026,CLAIM-2026-6931
T000116,PURO-09408-2025-00000026,Puro.earth,Direct Air Capture,2025,264.66,tCO2e,CH4,retired,2025-12-04,Verdant Grain Cooperative,2025,CLAIM-2025-8504
T000117,VCS-01510-2024-00000050,Verra,REDD+ (VM0048),2024,2476.83,tCO2e,CO2,retired,2025-08-16,Aria Logistics Group,2025,CLAIM-2025-2323
T000118,PURO-06277-2019-00000027,Puro.earth,Direct Air Capture,2019,3183.73,tCO2e,CO2,retired,2024-10-07,Halsey Industrial Partners,2024,CLAIM-2024-7240
T000119,ACR-09692-2024-00000011,ACR,Landfill Methane Capture,2024,616.35,tCO2e,CO2,retired,2024-12-01,Cobalt Ridge Manufacturing,2024,CLAIM-2024-8046
T000120,VCS-08398-2023-00000051,Verra,Afforestation/Reforestation (VM0047),2023,3661.58,tCO2e,CO2,retired,2026-06-10,Solace Apparel Holdings,2026,CLAIM-2026-6120
T000121,VCS-05176-2025-00000052,Verra,Landfill Methane Capture,2025,472.55,tCO2e,CO2,retired,2025-08-10,Aria Logistics Group,2025,CLAIM-2025-7105
T000122,PURO-03131-2023-00000028,Puro.earth,Direct Air Capture,2023,4374.36,tCO2e,CO2,retired,2023-08-05,Northwind Foods Inc.,2023,CLAIM-2023-5712
T000123,VCS-06119-2021-00000053,Verra,Landfill Methane Capture,2021,1160.01,tCO2e,CO2,retired,2024-02-25,Halsey Industrial Partners,2024,CLAIM-2024-7022
T000124,VCS-02882-2021-00000054,Verra,Cookstove Distribution,2021,4874.01,tCO2e,CO2,retired,2026-11-15,Northwind Foods Inc.,2026,CLAIM-2026-5381
T000125,VCS-01474-2022-00000055,Verra,Afforestation/Reforestation (VM0047),2022,947.96,tCO2e,CO2,retired,2025-03-15,Solace Apparel Holdings,2025,CLAIM-2025-2140
T000126,PURO-03324-2019-00000029,Puro.earth,Biochar,2019,2295.55,tCO2e,CO2,retired,2024-03-21,Halsey Industrial Partners,2024,CLAIM-2024-6105
T000127,GS-06314-2018-00000026,Gold Standard,Cookstove Distribution,2018,3108.3,tCO2e,CO2,retired,2024-12-11,Aria Logistics Group,2024,CLAIM-2024-5458
T000128,PURO-08259-2025-00000030,Puro.earth,Biochar,2025,1117.07,tCO2e,CO2,retired,2026-09-20,Aria Logistics Group,2026,CLAIM-2026-6655
T000129,VCS-08043-2025-00000056,Verra,REDD+ (VM0048),2025,2006.55,tCO2e,CO2,retired,2026-11-03,Northwind Foods Inc.,2026,CLAIM-2026-1125
T000130,VCS-04349-2020-00000057,Verra,Landfill Methane Capture,2020,643.92,tCO2e,CO2,retired,2025-09-12,Solace Apparel Holdings,2025,CLAIM-2025-3878
T000131,VCS-03116-2021-00000058,Verra,Improved Forest Management,2021,4315.73,tCO2e,CO2,retired,2025-01-22,Solace Apparel Holdings,2025,CLAIM-2025-1307
T000132,VCS-08532-2024-00000059,Verra,REDD+ (VM0048),2024,3218.7,tCO2e,CO2,retired,2026-05-29,Aria Logistics Group,2026,CLAIM-2026-7636
T000133,VCS-01341-2025-00000060,Verra,Landfill Methane Capture,2025,4230.2,tCO2e,CO2,retired,2026-05-05,Solace Apparel Holdings,2026,CLAIM-2026-7560
T000134,VCS-09584-2022-00000061,Verra,REDD+ (VM0048),2022,3906.63,tCO2e,CO2,retired,2025-02-09,Aria Logistics Group,2025,CLAIM-2025-9693
T000135,VCS-09355-2023-00000062,Verra,Afforestation/Reforestation (VM0047),2023,774.9,tCO2e,CO2,retired,2024-04-11,Brightline Materials Co.,2024,CLAIM-2024-3504
T000136,VCS-02234-2025-00000063,Verra,Afforestation/Reforestation (VM0047),2025,4416.14,tCO2e,CO2,retired,2026-11-26,Halsey Industrial Partners,2026,CLAIM-2026-6179
T000137,ACR-03473-2025-00000012,ACR,Improved Forest Management,2025,3991.83,tCO2e,CO2,retired,2026-10-30,Northwind Foods Inc.,2026,CLAIM-2026-6766
T000138,VCS-09312-2025-00000064,Verra,REDD+ (VM0048),2025,1875.25,tCO2e,CO2,retired,2026-05-27,Aria Logistics Group,2026,CLAIM-2026-2479
T000139,CAR-09307-2018-00000008,CAR,Improved Forest Management,2018,2879.7,tCO2e,CH4,retired,2026-04-07,Halsey Industrial Partners,2026,CLAIM-2026-8792
T000140,VCS-09214-2025-00000065,Verra,Afforestation/Reforestation (VM0047),2025,4195.02,tCO2e,CO2,retired,2025-02-13,Brightline Materials Co.,2025,CLAIM-2025-1641
T000141,PURO-05059-2025-00000031,Puro.earth,Biochar,2025,4593.79,tCO2e,CO2,retired,2025-07-18,Solace Apparel Holdings,2025,CLAIM-2025-6543
T000142,VCS-01857-2019-00000066,Verra,Cookstove Distribution,2019,3407.98,tCO2e,CO2,retired,2025-05-26,Verdant Grain Cooperative,2025,CLAIM-2025-3463
T000143,VCS-06461-2023-00000067,Verra,REDD+ (VM0048),2023,3507.48,tCO2e,N2O,retired,2025-07-20,Brightline Materials Co.,2025,CLAIM-2025-2388
T000144,GS-06072-2023-00000027,Gold Standard,Direct Air Capture,2023,4153.35,tCO2e,CO2,retired,2024-12-16,Aria Logistics Group,2024,CLAIM-2024-7937
T000145,VCS-09331-2023-00000068,Verra,Landfill Methane Capture,2023,1110.25,tCO2e,CO2,retired,2025-09-06,Cobalt Ridge Manufacturing,2025,CLAIM-2025-4711
T000146,VCS-03253-2022-00000069,Verra,Afforestation/Reforestation (VM0047),2022,2721.87,tCO2e,CO2,retired,2023-09-27,Northwind Foods Inc.,2023,CLAIM-2023-6517
T000147,GS-03147-2020-00000028,Gold Standard,Direct Air Capture,2020,3479.59,tCO2e,CO2,retired,2024-11-15,Brightline Materials Co.,2024,CLAIM-2024-8170
T000148,CAR-01715-2021-00000009,CAR,Improved Forest Management,2021,3774.34,tCO2e,CO2,retired,2026-08-18,Cobalt Ridge Manufacturing,2026,CLAIM-2026-9749
T000149,ACR-04918-2021-00000013,ACR,Landfill Methane Capture,2021,2873.58,tCO2e,CO2,retired,2025-08-14,Tidewater Shipping Corp.,2025,CLAIM-2025-5616
T000150,GS-07256-2020-00000029,Gold Standard,Direct Air Capture,2020,735.07,tCO2e,CO2,retired,2024-05-08,Northwind Foods Inc.,2024,CLAIM-2024-8873
T000151,PURO-07081-2019-00000032,Puro.earth,Direct Air Capture,2019,843.55,tCO2e,CO2,retired,2025-08-19,Brightline Materials Co.,2025,CLAIM-2025-8167
T000152,VCS-02502-2023-00000070,Verra,Afforestation/Reforestation (VM0047),2023,2012.45,tCO2e,CO2,retired,2023-07-11,Cobalt Ridge Manufacturing,2023,CLAIM-2023-7326
T000153,VCS-02337-2018-00000071,Verra,Landfill Methane Capture,2018,4203.92,tCO2e,CH4,retired,2025-11-29,Halsey Industrial Partners,2025,CLAIM-2025-3392
T000154,VCS-03254-2025-00000072,Verra,REDD+ (VM0048),2025,2372.1,tCO2e,CO2,retired,2025-11-12,Northwind Foods Inc.,2025,CLAIM-2025-2298
T000155,VCS-01311-2020-00000073,Verra,Landfill Methane Capture,2020,1476.1,tCO2e,CO2,retired,2026-06-04,Aria Logistics Group,2026,CLAIM-2026-1782
